Item ID,Item Type,Home Location,Current Location,Name,Replacement Cost
11,Hand Wood Splitter,Portobello,Portobello,Roughneck Manual Wood Splitter,
12,Engraver,Portobello,Portobello,Dremel Multi Tool,30
13,Cordless Drills,Portobello,Portobello,Makita cordless drill driver,
2,Claw Hammers,Leith,Leith,Claw Hammer,5
3,Hoes,Leith,Leith,Garden hoe,5
4,Sharp Bristle Brushes,Leith,Leith,Wire brush,
5,Wood Chisel,Leith,Leith,Wood chisel,2
7,Routers,Leith,Leith,Router Bit Set,
9,Scrapers,Portobello,Portobello,Paint scraper 60mm,
ETL0000,Tools,Leith,Leith,OTHER NON-REGISTERED ITEMS,
ETL0001,Shovels & Digging,Portobello,Leith,Garden Spade,4
ETL0002,Shovels & Digging,Leith,Leith,Garden Spade,
ETL0003,Shovels & Digging,Leith,Leith,Garden Spade,
ETL0004,Shovels & Digging,Leith,Leith,Garden Spade,
ETL0006,Spade Shovel,Leith,Leith,Garden Spade,5
ETL0007,Digging Fork,Portobello,Portobello,Garden Fork,5
ETL0009,Digging Fork,Leith,Leith,Garden Fork,5
ETL0010,Lawn Care (other),Leith,Leith,Lawn aerator,5
ETL0011,Lawn Care (other),Leith,Leith,Lawn aerator,5
ETL0012,Pickaxes,Leith,Leith,Heavy pickaxe,6
ETL0013,Pickaxes,Portobello,Portobello,Heavy pickaxe,6
ETL0014,Grass Shear,Leith,Leith,Long handled shears,6
ETL0015,Lawn Care (other),Leith,Leith,Edging shears,5
ETL0016,Metal Garden Rake,Leith,Leith,Garden rake,8
ETL0017,Metal Garden Rake,Leith,Leith,Garden rake,8
ETL0018,Hoes,Leith,Leith,Garden hoe,5
ETL0019,Hoes,Leith,Leith,Garden hoe,5
ETL0020,Grass Shear,Leith,Leith,Garden shears,10
ETL0021,Grass Shear,Leith,Leith,Garden shears,10
ETL0022,Grass Shear,Leith,Leith,Garden shears,10
ETL0023,Jig Saws,Leith,Portobello,Multi tool,57
ETL0024,Jig Saws,Leith,Leith,Performance Variable Speed Jigsaw,30
ETL0025,Corded & Plug-in,Leith,Leith,Parkside Electric Brad Nailer,40
ETL0026,Angle Grinders,Portobello,Portobello,Green Parkside Angle Grinder,54
ETL0027,Random Orbit Sander,Leith,Leith,Draper Random Orbit Sander,40
ETL0028,Biscuit Joiners,Leith,Leith,GMC Biscuit Joiner,40
ETL0029,Power Planer,Leith,Leith,Axminster Electric Hand Planer,45
ETL0030,Routers,Leith,Leith,Bosch Electic Router,80
ETL0032,Welders,Leith,Leith,Einhell Electric Welding Transformer kit,100
ETL0034,Power Planer,Leith,Leith,Powercraft Electric Plane,45
ETL0036,Miter Saws,Leith,Leith,Pro Saw CLM 190LSMS Slide Compound Mitre Saw,80
ETL0037,Jig Saws,Portobello,Portobello,Jig saw,35
ETL0038,Heat Gun,Leith,Leith,Heat gun,45
ETL0040,Power Drills,Portobello,Leith,Electric hammer drill,40
ETL0041,Cordless Drills,Leith,Leith,Cordless drill,25
ETL0043,"Bits, Drivers and Accessories",Leith,Leith,75 Piece Drill Bit set,36
ETL0044,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0045,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0046,Wood Chisel,Portobello,Portobello,Wood chisel,2
ETL0047,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0048,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0049,Wood Chisel,Leith,Leith,Wood chisel 12mm blade,2
ETL0050,Wood Chisel,Portobello,Portobello,Wood chisel,2
ETL0051,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0052,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0053,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0054,Wood Chisel,Portobello,Portobello,Wood chisel,2
ETL0055,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0057,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0058,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0060,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0061,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0062,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0063,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0065,Claw Hammers,Leith,Leith,Claw Hammer,5
ETL0066,Claw Hammers,Leith,Leith,Claw Hammer,5
ETL0068,Claw Hammers,Leith,Leith,tack hammer,5
ETL0069,Claw Hammers,Leith,Leith,tack hammer,5
ETL0070,Plastic Tip Hammers,Leith,Leith,Plastic Tip Hammer,5
ETL0072,Lawn Mower,Leith,Leith,Petrol Lawn Mower,150
ETL0073,Tenon Saws,Leith,Leith,Tenon saw,2
ETL0074,Tenon Saws,Leith,Leith,Tenon saw,2
ETL0076,Tenon Saws,Leith,Leith,Tenon saw,2
ETL0077,Tenon Saws,Portobello,Portobello,Tenon saw,2
ETL0078,Tenon Saws,Leith,Leith,Tenon saw,2
ETL0079,Planes,Leith,Leith,Two handed plane,5
ETL0080,Planes,Leith,Leith,Two handed plane,5
ETL0081,Planes,Leith,Leith,Two handed plane,5
ETL0082,Planes,Leith,Leith,Hand plane,5
ETL0083,Hack saw,Leith,Leith,Hack saw,7
ETL0084,Squares,Leith,Leith,Tri square,5
ETL0085,Drywall Saws,Leith,Leith,Drywall/hacksaw,5
ETL0088,Saws,Leith,Portobello,Hand saw,
ETL0089,Back Saw,Leith,Leith,Panel saw,5
ETL0090,Back Saw,Leith,Leith,Panel saw,5
ETL0091,Back Saw,Portobello,Portobello,Panel saw,5
ETL0092,Crosscut Saw,Leith,Leith,Hand Saw,
ETL0093,Needle Nose Pliers,Leith,Leith,Needle nosed pliers,5
ETL0094,Needle Nose Pliers,Leith,Leith,Needle nosed pliers,5
ETL0095,Lineman Plier,Leith,Leith,Pliers,4
ETL0096,Lineman Plier,Leith,Leith,Pliers,4
ETL0097,Wire Cutters,Leith,Leith,Wire stripper,5
ETL0098,Wire Cutters,Leith,Leith,Sheet metal cutter (hand),6
ETL0099,Wire Cutters,Leith,Leith,Sheet metal cutter (hand),6
ETL0100,Wire Cutters,Leith,Leith,Sheet metal cutter (hand),6
ETL0101,Wire Cutters,Leith,Leith,Wire stripper/cutter,2
ETL0102,Brick Trowel,Leith,Leith,Cement trowel,5
ETL0104,Brick Trowel,Leith,Leith,Cement trowel,5
ETL0105,Notched Trowel,Leith,Leith,Tiling trowel,
ETL0106,Drywall Saws,Leith,Leith,Drywall/hacksaw,4
ETL0107,Pipe Wrenches,Leith,Leith,Pipe wrench,8
ETL0108,Pry Bar,Leith,Leith,Pry bar,5
ETL0109,Pry Bar,Leith,Leith,Pry bar,5
ETL0110,Files,Leith,Leith,Rounded File,4
ETL0111,Files,Leith,Leith,Wood file,4
ETL0112,Drill Press (hand),Leith,Leith,Drill stand,15
ETL0113,Squares,Leith,Leith,Tri square,5
ETL0114,Open End Wrench,Leith,Leith,Spanner set,20
ETL0115,Open End Wrench,Leith,Leith,Spanner set,20
ETL0116,Hammers & Mallets,Leith,Leith,Wooden mallet,5
ETL0117,Levels,Leith,Leith,1m Spirit Level,10
ETL0118,Misc,Leith,Leith,Fetching ETL branded hard hat,5
ETL0119,Wood Chisel,Leith,Leith,Wood chisel set,20
ETL0120,Ball Peen Hammers,Leith,Leith,Ball peen hammer,4
ETL0121,Claw Hammers,Leith,Leith,Club hammer,5
ETL0122,Claw Hammers,Leith,Leith,Club Hammer,5
ETL0124,Pickaxes,Leith,Leith,Chipping hammer / Rock pick,6
ETL0125,Tape Measures,Portobello,Portobello,Tape measure,2
ETL0126,Tape Measures,Leith,Leith,Tape measure,2
ETL0127,Brick Trowel,Leith,Leith,Cement trowel,5
ETL0128,Planes,Leith,Leith,Hand plane,5
ETL0129,Squares,Leith,Leith,Large Tri square,5
ETL0130,Wire Cutters,Leith,Leith,Sheet metal cutter (hand),6
ETL0131,Cement Chisel,Leith,Leith,Stone chisel,8
ETL0132,Bow Saws,Leith,Leith,Bush saw,8
ETL0133,Tap and Die,Leith,Leith,"Tap and die set (1/4"" 5/16"" 3/8"")",10
ETL0134,Hand Sickle,Leith,Leith,Hand sickle,5
ETL01340,Pruning Saw,Leith,Portobello,Folding pruning saw,26.49
ETL0136,Socket Sets,Portobello,Portobello,Socket set,20
ETL0137,Testers (hand held),Leith,Leith,Stud finder,20
ETL0138,Staple Gun,Leith,Leith,Staple gun,12
ETL0139,Rivet Tools,Leith,Leith,Hand riveter,10
ETL0140,Marking,Leith,Leith,Marking guage,10
ETL0141,Chalklines,Leith,Leith,Chalk line marker,10
ETL0142,Hand Tile Cutter,Leith,Leith,Tile cutter,10
ETL0144,Bar Clamps,Leith,Leith,Bar clamp,10
ETL0145,Bar Clamps,Leith,Leith,Bar clamp,10
ETL0146,Bar Clamps,Leith,Leith,Bar clamp,10
ETL0147,Bar Clamps,Leith,Leith,Bar clamp,10
ETL0148,Electric Hedge Trimmer,Leith,Leith,Worx Corded Hedge Trimmer,30
ETL0149,Wire Cutters,Leith,Leith,Bolt Cutter,10
ETL0150,Power Drill 3/8in,Leith,Leith,Corded drill,45
ETL0151,Hammer Drills,Portobello,Portobello,Hammer Drill (corded),
ETL0152,Hammer Drills,Leith,Leith,Corded Power Drill,25
ETL0154,Routers,Leith,Leith,Router accessories,50
ETL0155,Angle Grinders,Leith,Leith,Dewalt Angle Grinder,54
ETL0156,Miscellaneous Furniture,Leith,Leith,Portable Work bench,110
ETL0158,Punch,Leith,Leith,Leather punch,10
ETL0159,Grass Shear,Leith,Leith,Garden shears,10
ETL0160,Back Saw,Leith,Leith,Panel saw,5
ETL0161,Crowbar,Leith,Leith,Crowbar,5
ETL0162,Crosscut Saw,Leith,Leith,,45
ETL0163,Spade Shovel,Leith,Leith,Garden Spade,5
ETL0164,Hand Axe,Leith,Leith,Two handed axe,10
ETL0165,Drywall Saws,Leith,Leith,Drywall/hacksaw,5
ETL0166,Grass Shear,Leith,Leith,Garden shears,10
ETL0167,Cordless Drills,Leith,Leith,Cordless drill,25
ETL0168,Cordless Drills,Leith,Leith,Cordless drill,25
ETL0169,Wood Chisel,Leith,Leith,Wood chisel,5
ETL0170,Hoes,Leith,Leith,Garden hoe,5
ETL0171,Hoes,Leith,Leith,Two pronged garden hoe,5
ETL0172,Metal Garden Rake,Leith,Leith,Garden rake,8
ETL0173,Hand Tillers,Leith,Leith,Hand soil tiller,10
ETL0174,Grass Shear,Leith,Leith,Extendable garden shears,10
ETL0175,Cordless Trimmers,Leith,Leith,Hedge Trimmer - battery powered,
ETL0176,Sledgehammers,Leith,Leith,,
ETL0177,Socket Sets,Leith,Leith,Socket Set,5
ETL0178,Crescent Wrench,Leith,Leith,Crescent Wrench,5
ETL0179,Jacks,Leith,Leith,,5
ETL0180,Hack saw,Leith,Leith,Hack saw,5
ETL0181,Rubber Mallets,Leith,Leith,Rubber Mallet,5
ETL0182,Rubber Mallets,Leith,Leith,Rubber Mallet,5
ETL0183,Jig Saws,Leith,Leith,,50
ETL0184,Lawn Care (other),Leith,Leith,Roling Lawn aerator,5
ETL0185,Cement Chisel,Leith,Leith,Stone chisel,8
ETL0186,Hand Pruner,Leith,Leith,Garden Secateurs,
ETL0188,Claw Hammers,Leith,Leith,Claw Hammer,5
ETL0189,Gas Powered String Trimmer,Leith,Leith,Petrol strimmer,100
ETL0190,Wallpaper Steamer,Leith,Leith,Wallpaper Stripper,40
ETL0191,Claw Hammers,Leith,Leith,Claw Hammer,5
ETL0192,Claw Hammers,Leith,Leith,Claw Hammer,5
ETL0193,Claw Hammers,Leith,Leith,Claw Hammer,5
ETL0194,Crowbar,Leith,Leith,Crowbar,5
ETL0195,Crowbar,Leith,Leith,Crowbar,5
ETL0196,Levels,Leith,Leith,1m Spirit Level,10
ETL0197,Allen Wrench Sets,Leith,Leith,Allen Key Set,15
ETL0198,Allen Wrench Sets,Leith,Leith,Allen Key Driver Set,50
ETL0199,Tape Measures,Leith,Leith,Tape measure,2
ETL0200,Screwdriver Sets,Leith,Leith,Screwdriver set,15
ETL0201,Pipe Wrenches,Leith,Leith,Pipe wrench,8
ETL0202,Crescent Wrench,Leith,Leith,Adjustable spanner,
ETL0203,Needle Nose Pliers,Leith,Leith,Needle nosed pliers,5
ETL0204,Lineman Plier,Leith,Leith,Pliers,4
ETL0205,Lineman Plier,Leith,Leith,Pliers,4
ETL0206,Rulers,Leith,Leith,Steel ruler,
ETL0207,Sanders,Leith,Leith,Sanding block,
ETL0208,Sanders,Leith,Leith,Sanding block,
ETL0209,Paint Roller Frame,Leith,Leith,Extension pole for paint roller,
ETL0210,Paint Roller Frame,Leith,Leith,Extension pole for paint roller,
ETL0211,Paint Roller Frame,Leith,Leith,paint roller cage on pole,
ETL0212,Paint Roller Frame,Portobello,Portobello,Paint Roller Cage,
ETL0213,Paint Roller Frame,Leith,Leith,paint roller cage,
ETL0214,Paint Roller Frame,Leith,Leith,paint roller cage,
ETL0215,Paint Roller Frame,Leith,Leith,paint roller cage,
ETL0216,Paint Roller Frame,Leith,Leith,paint roller cage,
ETL0217,Cement Chisel,Leith,Leith,Stone chisel,8
ETL0218,Cement Chisel,Leith,Leith,Stone chisel,8
ETL0219,Brick Trowel,Leith,Leith,Cement trowel,5
ETL0220,Float,Leith,Leith,Cement hawk,
ETL0221,Float,Leith,Leith,Cement or plaster hawk,
ETL0222,Finishing Stone,Leith,Leith,Sharpening stone,
ETL0223,Cement Chisel,Leith,Leith,Stone chisel,8
ETL0224,Cement Chisel,Leith,Leith,Stone chisel,8
ETL0225,Cement Chisel,Leith,Leith,Stone chisel,8
ETL0226,Hack saw,Leith,Leith,Hack saw,7
ETL0227,Finishing Power Sanders,Portobello,Portobello,Detail Sander,57
ETL0228,Sledgehammers,Leith,Leith,Sledgehammer,
ETL0229,Tape Measures,Leith,Leith,Tape measure,2
ETL0230,Plastic Tip Hammers,Leith,Leith,,5
ETL0231,Metal Garden Rake,Leith,Leith,Garden rake,8
ETL0232,Metal Garden Rake,Leith,Leith,Garden rake,8
ETL0233,Rubber Mallets,Leith,Leith,Rubber Mallet,5
ETL0235,Linoleum Knives,Leith,Leith,Stanley knife,4
ETL0236,Linoleum Knives,Leith,Leith,Stanley knife,4
ETL0237,Squares,Leith,Leith,Tri square,5
ETL0238,Jig Saws,Portobello,Leith,Jigsaw,90
ETL0239,Miscellaneous Furniture,Leith,Leith,Pasting Table,20
ETL0240,Files,Leith,Leith,Rounded File,4
ETL0241,Files,Leith,Leith,Rounded File,4
ETL0243,Planes,Leith,Leith,Hand plane,5
ETL0244,Planes,Portobello,Portobello,Hand plane,5
ETL0245,Files,Leith,Leith,Square Edged File,4
ETL0246,Bar Clamps,Leith,Leith,G clamp,10
ETL0247,Bar Clamps,Leith,Leith,G clamp,10
ETL0248,Bar Clamps,Leith,Leith,Bar clamp,10
ETL0249,Bar Clamps,Leith,Leith,Bar clamp,10
ETL0254,Needle Nose Pliers,Leith,Leith,Needle nosed pliers,5
ETL0255,Drills,Leith,Leith,Hand drill,15
ETL0256,Files,Leith,Leith,Small File Set,10
ETL0258,Drills,Leith,Leith,Hand drill,15
ETL0259,Testers (hand held),Leith,Leith,Plumb bob/line,1.99
ETL0260,Wallpaper Steamer,Leith,Leith,Wallpaper perforator,6
ETL0270,Coping Saw,Leith,Leith,Coping Saw,10
ETL0271,Grass Shear,Leith,Leith,Long handled shears,6
ETL0272,Allen Wrench Sets,Leith,Leith,Radiator key,1
ETL0273,Miscellaneous Furniture,Leith,Leith,Portable Work bench,110
ETL0274,Squares,Leith,Leith,Tri square,5
ETL0275,Hammers & Mallets,Leith,Leith,Wooden mallet,5
ETL0276,Finishing Stone,Leith,Leith,Sharpening stone,
ETL0277,Jig Saws,Portobello,Leith,Jigsaw,70
ETL0280,Heat Gun,Leith,Leith,Black & Decker Heat gun,45
ETL0281,Squares,Leith,Leith,Tri square,5
ETL0282,Drills,Leith,Leith,Brace hand drill,15
ETL0283,Screwdriver Sets,Leith,Leith,Spiral ratchet screwdriver,10
ETL0284,Hammers & Mallets,Portobello,Portobello,Wooden mallet,5
ETL0285,"Bits, Drivers and Accessories",Leith,Leith,Drill Bit set,10
ETL0286,Files,Leith,Leith,Rasp,1
ETL0287,Wood Chisel,Portobello,Portobello,Wood chisel 24mm blade,2
ETL0288,Wood Chisel,Leith,Leith,Wood chisel 20mm blade,2
ETL0289,Wood Chisel,Portobello,Portobello,Wood chisel 12mm,2
ETL0290,Saws,Leith,Leith,Hand saw,
ETL0291,Yardsticks,Leith,Leith,Yardstick/90cm foldable ruler,2
ETL0293,Lawn Mower,Leith,Leith,Push mower,
ETL0295,Hanging Lights,Leith,Leith,Work light,8
ETL0296,Hanging Lights,Leith,Leith,Work light,8
ETL0300,Spade Shovel,Leith,Leith,Garden Spade,5
ETL0301,Digging Fork,Portobello,Portobello,Garden Fork,5
ETL0302,Soldering & Heat Guns,Portobello,Portobello,Soldering iron,5
ETL0303,Soldering & Heat Guns,Leith,Leith,Soldering iron,5
ETL0304,Soldering & Heat Guns,Leith,Leith,Soldering iron,5
ETL0305,Soldering & Heat Guns,Leith,Leith,Heat gun/Paint stripper,25
ETL0306,Scrapers,Portobello,Portobello,Paint scraper 60mm,
ETL0307,Wallpaper Steamer,Leith,Leith,Wallpaper Stripper,40
ETL0308,Stands & Work Tables,Leith,Leith,Bike Workstand,30
ETL0310,Circular Saws,Leith,Leith,Corded circular saw,60
ETL0311,Planes,Leith,Leith,Hand plane,5
ETL0312,Levels,Leith,Leith,Spirit level,110
ETL0313,Bow Saws,Leith,Leith,Bush saw,12
ETL0314,Jig Saws,Leith,Leith,Woolworths Jigsaw,40
ETL0315,Soldering & Heat Guns,Leith,Leith,Heat gun/Paint stripper,25
ETL0316,Circular Saws,Leith,Leith,Corded circular saw,60
ETL0317,Power Drills,Leith,Leith,Performance Power Corded Hammer Drill,0
ETL0318,Jig Saws,Leith,Leith,Bosch PST Jigsaw,40
ETL0319,Finishing Power Sanders,Portobello,Portobello,Sheet Sander,45
ETL0321,Jig Saws,Leith,Leith,McKeller T80 Laser Jigsaw,30
ETL0323,Jig Saws,Leith,Leith,Black & Decker Jigsaw,35
ETL0325,Finishing Power Sanders,Leith,Leith,Black & Decker Power Sander,30
ETL0326,Cordless Drills,Leith,Leith,Performance Power Pro Electric Screwdriver,20
ETL0327,Wallpaper Steamer,Leith,Leith,Wallpaper Stripper,40
ETL0328,Engraver,Leith,Leith,Dremel Multi,30
ETL0329,Engraver,Leith,Leith,Dremel Multi,30
ETL0331,Testers (hand held),Leith,Leith,Stud finder,20
ETL0333,Lawn Mower,Leith,Leith,Push mower,
ETL0334,Lawn Mower,Leith,Leith,Push mower,
ETL0338,Step Ladders,Leith,Leith,Step ladders,
ETL0343,Electric Chippers,Leith,Leith,Garden shredder,60
ETL0344,Loppers,Leith,Leith,Branch Loppers,
ETL0345,Miscellaneous Furniture,Leith,Leith,Pasting Table,20
ETL0346,Corded & Plug-in,Leith,Leith,DeWalt corded hammer drill,
ETL0347,Cordless Drills,Leith,Leith,Makita cordless drill,
ETL0348,Files,Leith,Leith,Rasp,3
ETL0350,Engraver,Leith,Leith,Multi Tool Rotary Tool,50
ETL0351,Planes,Leith,Leith,Hand plane,30
ETL0352,Brick Trowel,Leith,Leith,Cement trowel,5
ETL0354,Wallpaper Steamer,Leith,Leith,Wallpaper Steamer,
ETL0355,Miscellaneous Furniture,Leith,Leith,Pasting Table,20
ETL0356,Miscellaneous Furniture,Leith,Leith,Portable Work bench,110
ETL0357,Hoes,Leith,Leith,Dutch Hoe,5
ETL0358,"Scythes, Sickles & Machetes",Leith,Leith,Scythe,
ETL0359,Levels,Portobello,Leith,"Spirit Level 36"" / 910mm",10
ETL0361,Levels,Leith,Leith,"Spirit level 9"" / 23cm",10
ETL0362,Scrapers,Leith,Leith,Paint scraper,
ETL0364,Hack saw,Leith,Leith,Small hack saw,7
ETL0365,Hammer Drills,Leith,Portobello,Makita Rotary Hammer Drill (SDS+ 22mm 240v),
ETL0366,Cordless Drills,Leith,Leith,Makita Cordless Drill,
ETL0367,Float,Leith,Leith,Float Trowel,
ETL0368,Squeegees,Leith,Leith,Squeegee,
ETL0369,Squeegees,Leith,Leith,Squeegee,
ETL0370,Power Saws,Leith,Leith,Multifunction Jigsaw/Handsaw,
ETL0372,Testers (hand held),Leith,Leith,Circuit tester,10
ETL0373,"Pliers, Cutters, and Snips",Portobello,Portobello,Wire strippers,4
ETL0374,"Pliers, Cutters, and Snips",Leith,Leith,Wire snips,4
ETL0375,Screwdrivers,Leith,Leith,Insulated screwdriver,1
ETL0376,Power Saws,Leith,Leith,Chop saw,50
ETL0377,Routers,Leith,Leith,ROUTER ACCESSORIES,80
ETL0378,String Trimmer,Leith,Leith,Electric strimmer/edger,40
ETL0379,Sanders & Planers,Leith,Leith,Skil Belt sander,50
ETL0380,Electric Hedge Trimmer,Leith,Leith,Electric Hedge Trimmer,50
ETL0381,Corded & Plug-in,Leith,Leith,Titan Hex Shank Breaker,
ETL0382,Circular Saws,Leith,Leith,Corded circular saw,60
ETL0383,Jig Saws,Leith,Leith,Black and Decker Jigsaw,
ETL0384,Cordless Drills,Leith,Leith,Black & Decker 12v Cordless Drill,
ETL0385,Levels,Leith,Leith,"Spirit level 27"" / 70cm",10
ETL0386,Hand Tile Cutter,Leith,Leith,Tile cutter,10
ETL0387,Cordless Drills,Leith,Leith,JCB 20v Cordless Drill,200
ETL0388,Bar Clamps,Leith,Leith,G clamp,10
ETL0389,Distance Meters,Leith,Leith,Distance Measure,
ETL0390,Reciprocating Saw,Leith,Leith,Reciprocating Saw,140
ETL0391,Step Ladders,Leith,Leith,Abru platform stepladders,
ETL0392,Hoes,Leith,Leith,Turf Cutter,5
ETL0393,Planters Shovel,Leith,Leith,Long Handled Bulb Planter,
ETL0394,Paint Sprayer,Leith,Leith,Low Volume Low Pressure Spray Gun,
ETL0395,Multimeters,Leith,Leith,Clamp Multimeter (AC current),15
ETL0396,Screwdrivers,Leith,Leith,Insulated screwdriver,1
ETL0397,Chop Saws,Leith,Leith,Dewalt chop/mitre saw,100
ETL0398,Paint Sprayer,Leith,Leith,Parkside Paint Sprayer,40
ETL0400,Angle Grinders,Leith,Leith,DeWalt cordless angle grinder,300
ETL0401,Circular Saws,Leith,Leith,Corded circular saw,55
ETL0402,Brick Hammers,Leith,Leith,Stone Hammer,5
